Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,24,Angola,5419,Yield,1312.0,Bananas,2016,2016,100 g/ha,273729,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,1312.0,Bananas,2017,2017,100 g/ha,261842,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,1312.0,Bananas,2018,2018,100 g/ha,243844,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,1312.0,Bananas,2019,2019,100 g/ha,248955,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,1312.0,Bananas,2020,2020,100 g/ha,254526,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,1312.0,Bananas,2021,2021,100 g/ha,255679,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,1701.0,"Beans, dry",2016,2016,100 g/ha,4295,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1701.0,"Beans, dry",2017,2017,100 g/ha,4365,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1701.0,"Beans, dry",2018,2018,100 g/ha,4456,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1701.0,"Beans, dry",2019,2019,100 g/ha,4843,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,1701.0,"Beans, dry",2020,2020,100 g/ha,4983,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,1701.0,"Beans, dry",2021,2021,100 g/ha,4880,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,1212.0,Cabbages,2016,2016,100 g/ha,29942,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1212.0,Cabbages,2017,2017,100 g/ha,27491,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1212.0,Cabbages,2018,2018,100 g/ha,26557,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1212.0,Cabbages,2019,2019,100 g/ha,27924,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1212.0,Cabbages,2020,2020,100 g/ha,27312,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1212.0,Cabbages,2021,2021,100 g/ha,27253,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1372.0,"Cashew nuts, in shell",2016,2016,100 g/ha,7492,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1372.0,"Cashew nuts, in shell",2017,2017,100 g/ha,7660,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1372.0,"Cashew nuts, in shell",2018,2018,100 g/ha,7512,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1372.0,"Cashew nuts, in shell",2019,2019,100 g/ha,7716,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1372.0,"Cashew nuts, in shell",2020,2020,100 g/ha,7799,E,Estimated value,
