Africa Eastern and Southern,AFE,Mobile cellular subscriptions,IT.CEL.SETS,Year,Subscribers
Afghanistan,AFG,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Africa Western and Central,AFW,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Angola,AGO,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Albania,ALB,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Andorra,AND,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Arab World,ARB,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Argentina,ARG,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Armenia,ARM,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
American Samoa,ASM,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Antigua and Barbuda,ATG,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Australia,AUS,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Austria,AUT,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Azerbaijan,AZE,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Burundi,BDI,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Belgium,BEL,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Benin,BEN,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Burkina Faso,BFA,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Bangladesh,BGD,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Bulgaria,BGR,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Bahrain,BHR,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
"Bahamas, The",BHS,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Bosnia and Herzegovina,BIH,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Belarus,BLR,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Belize,BLZ,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Bermuda,BMU,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Bolivia,BOL,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Brazil,BRA,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Barbados,BRB,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Brunei Darussalam,BRN,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Bhutan,BTN,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Botswana,BWA,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Central African Republic,CAF,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Canada,CAN,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Central Europe and the Baltics,CEB,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Switzerland,CHE,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Chile,CHL,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
China,CHN,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Cote d'Ivoire,CIV,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Cameroon,CMR,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
"Congo, Dem. Rep.",COD,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
"Congo, Rep.",COG,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Colombia,COL,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Comoros,COM,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Cabo Verde,CPV,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Costa Rica,CRI,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Caribbean small states,CSS,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Cuba,CUB,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Cayman Islands,CYM,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Cyprus,CYP,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Czechia,CZE,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Germany,DEU,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Djibouti,DJI,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Dominica,DMA,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Denmark,DNK,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Dominican Republic,DOM,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Algeria,DZA,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
East Asia & Pacific (excluding high income),EAP,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Early-demographic dividend,EAR,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
East Asia & Pacific,EAS,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Europe & Central Asia (excluding high income),ECA,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Europe & Central Asia,ECS,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Ecuador,ECU,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
"Egypt, Arab Rep.",EGY,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Euro area,EMU,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Eritrea,ERI,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Spain,ESP,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Estonia,EST,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Ethiopia,ETH,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
European Union,EUU,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Fragile and conflict affected situations,FCS,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Finland,FIN,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Fiji,FJI,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
France,FRA,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Faroe Islands,FRO,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
"Micronesia, Fed. Sts.",FSM,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Gabon,GAB,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
United Kingdom,GBR,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Georgia,GEO,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Ghana,GHA,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Gibraltar,GIB,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Guinea,GIN,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
"Gambia, The",GMB,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Guinea-Bissau,GNB,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Equatorial Guinea,GNQ,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Greece,GRC,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Grenada,GRD,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Greenland,GRL,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Guatemala,GTM,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Guam,GUM,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Guyana,GUY,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
High income,HIC,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
"Hong Kong SAR, China",HKG,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Honduras,HND,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
